City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Mountain Home,US,2022-07-25 17:15:23,43.133,-115.6912,81.27,21,0,2.91,clear sky
170,Grindavik,IS,2022-07-25 17:18:01,63.8424,-22.4338,53.55,76,75,8.05,broken clouds
171,Tocopilla,CL,2022-07-25 17:16:04,-22.092,-70.1979,65.86,66,9,8.46,clear sky
172,Bera,BD,2022-07-25 17:18:02,24.0833,89.6167,80.85,83,84,6.93,broken clouds
173,Rafaela,AR,2022-07-25 17:18:02,-31.2503,-61.4867,80.98,44,73,5.99,broken clouds
174,Hami,CN,2022-07-25 17:18:02,42.8,93.45,85.5,14,91,10.29,overcast clouds
175,Sandpoint,US,2022-07-25 17:18:03,48.2766,-116.5533,81.86,54,68,1.01,broken clouds
176,Yellowknife,CA,2022-07-25 17:13:31,62.456,-114.3525,63.3,49,72,17.13,broken clouds
177,Longyearbyen,SJ,2022-07-25 17:18:03,78.2186,15.6401,49.84,81,40,17.27,scattered clouds
178,Oum Hadjer,TD,2022-07-25 17:18:04,13.2954,19.6966,93.4,40,36,7.34,scattered clouds
179,Half Moon Bay,US,2022-07-25 17:15:16,37.4636,-122.4286,68.9,81,100,9.22,overcast clouds
180,Faanui,PF,2022-07-25 17:18:04,-16.4833,-151.75,76.71,79,78,9.28,moderate rain
181,Tsabong,BW,2022-07-25 17:18:05,-26.0217,22.401,67.95,29,2,7.07,clear sky
182,Gigmoto,PH,2022-07-25 17:18:05,13.7796,124.39,80.06,84,95,2.46,overcast clouds
183,Saint-Louis,SN,2022-07-25 17:18:05,16.3333,-15.0,95.97,36,65,3.4,broken clouds
184,Fukue,JP,2022-07-25 17:18:06,32.6881,128.8419,76.66,80,0,3.09,clear sky
185,Nabire,ID,2022-07-25 17:18:06,-3.3667,135.4833,75.87,93,100,3.09,overcast clouds
186,Awjilah,LY,2022-07-25 17:19:06,29.1081,21.2869,98.98,12,1,9.95,clear sky
187,La Asuncion,VE,2022-07-25 17:19:07,11.0333,-63.8628,94.73,43,79,16.11,broken clouds
188,Fairbanks,US,2022-07-25 17:18:13,64.8378,-147.7164,68.34,60,75,8.05,broken clouds
189,Atar,MR,2022-07-25 17:19:07,20.5169,-13.0499,102.56,24,28,20.94,scattered clouds
190,Souillac,MU,2022-07-25 17:19:08,-20.5167,57.5167,68.38,88,75,6.91,broken clouds
191,Jijiga,ET,2022-07-25 17:19:08,9.35,42.8,69.53,50,99,13.67,overcast clouds
192,Lompoc,US,2022-07-25 17:19:08,34.6391,-120.4579,68.92,79,100,5.75,mist
193,Tasiilaq,GL,2022-07-25 17:19:09,65.6145,-37.6368,46.56,83,96,1.3,overcast clouds
194,Huntington,US,2022-07-25 17:14:21,38.4193,-82.4452,83.53,80,100,8.05,overcast clouds
