City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Lingao,CN,81.37,few clouds,19.9103,109.6859,Lingao Ditai Inn
98,Mbandaka,CD,72.84,moderate rain,0.0487,18.2603,Guest House Epervier
99,Salumbar,IN,77.41,light rain,24.1333,74.05,chatra chaya guest house
100,Atuona,PF,76.23,overcast clouds,-9.8,-139.0333,Villa Enata
101,Coahuayana,MX,88.05,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
106,Torbay,CA,85.87,broken clouds,47.6666,-52.7314,Gallows Cove
108,Lorengau,PG,81.0,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
109,Marawi,PH,70.03,overcast clouds,7.9986,124.2928,Derogongan Residence
110,Pita,GN,76.62,moderate rain,10.8333,-12.5833,
113,Lagoa,PT,75.02,clear sky,39.05,-27.9833,Casa Das Faias
117,Kembe,CF,73.78,overcast clouds,4.6228,21.8865,
119,Norden,DE,72.95,overcast clouds,53.6,7.2,Hotel Aquarius
124,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
125,Harper,LR,77.11,overcast clouds,4.375,-7.7169,Screensaver
126,Wajid,SO,82.06,broken clouds,3.8093,43.2471,xamdihotelresturant114
128,Katsuura,JP,79.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
130,Tual,ID,79.77,broken clouds,-5.6667,132.75,Grand Vilia Hotel
132,Kahului,US,78.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
133,Raghunathpur,IN,79.7,overcast clouds,23.55,86.6667,Joy Chandi Hill Resort
134,Sinnamary,GF,84.61,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
137,Xuzhou,CN,76.75,moderate rain,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
140,Yatou,CN,71.74,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
143,Zatoka,UA,79.56,overcast clouds,46.0725,30.4654,Sonyachna
146,Meulaboh,ID,74.39,overcast clouds,4.1363,96.1285,Kost Pria
147,Ada,US,83.01,clear sky,43.4166,-116.1262,
153,Aleksandrov Gay,RU,70.56,overcast clouds,50.147,48.5704,Gostinitsa
158,Hithadhoo,MV,82.6,broken clouds,-0.6,73.0833,Scoop Guest House
168,Sibolga,ID,75.07,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
169,Mountain Home,US,81.27,clear sky,43.133,-115.6912,Mountain Home Inn
172,Bera,BD,80.85,broken clouds,24.0833,89.6167,Sohel Parvez
173,Rafaela,AR,80.98,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
174,Hami,CN,85.5,overcast clouds,42.8,93.45,Laoyutang Resort
175,Sandpoint,US,81.86,broken clouds,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
180,Faanui,PF,76.71,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Gigmoto,PH,80.06,overcast clouds,13.7796,124.39,Cj's Travellers Inn
184,Fukue,JP,76.66,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
185,Nabire,ID,75.87,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
